ID;Description
Maritime Labor History;College Station, Texas, United States. These interviews were conducted in 1982 and 1983 by a Ph.D. candidate in history, Donald Willett, who was writing a dissertation on the National Maritime Union. All are open, and some are transcribed. 
Mark and Helen Norton Starr Collection;Detroit, Michigan, United States. Interview with Dennis East about their experiences at Brookwood Labor College and related events, 1974. 
Mark Chochla Research Collection;"Thunder Bay, Ontario, Canada. Interviews conducted in 1986 by Mark Chochla, during the preparation of his M.Ed. thesis at Lakehead University (Faculty of Education), on ""Teaching on the School Car"". Interviews with former teachers on railway school cars in Northwestern Ontario. English. Not for broadcast. Detailed inventory. "
Mark Fiege Washington State University Athletics Oral History Project, 1982;Pullman, Washington, United States. The Washington State University sports oral history interviews conducted by Mark Fiege in 1982 were transferred with their abstracts to the Archives by Mr. Fiege in late1982. (MS 82-20). They consist of eight cassette tapes. 
Mark Gayn Papers;Toronto, Ontario, Canada. Interviews conducted between 1970 to 1981 by Mark Julius Gayn (1909-1981) for his writings, including his book Shin Nippon Nikki (New Japan Diary). One of Canada's foremost journalist, Gayn contributed articles to leading newspapers and journals in North America and Europe, and earned a reputation as one of the world's most knowledgeable and reliable commentators on Asian and Soviet bloc affairs. He immigrated to Canada in 1953 and was a reporter for the Toronto Daily Star from 1963 to 1981. He was also a frequent commentator on the CBC. Interviews are with Canadian and American diplomats, and government officials in Japan, China, North Korea and Pakistan. The recordings are mostly in English, occasionally in the language of the interviewee (for example, Japanese), with translation into or from English. English. Open. Guide to the Mark Gayn Papers. 
Marlboro Advertising Oral History and Documentation Project;"Washington, District of Columbia, United States. The Marlboro Advertising Oral History and Documentation Project is the result of a two-year effort supported in part by a gift from Philip Morris, Inc. Sixty oral history interviews and a variety of television commercials, print advertising, promotional materials, packaging, and industry publications were gathered to document Marlboro cigarette advertising. The bulk of the collection focuses on the period between 1954 and 1986, and examines the ""Marlboro man"", ""Settle Back"" and ""Marlboro Country"" campaigns. The collection is a rich source of information for researchers interested in advertising and marketing history, issues of smoking and health, and the export of both tobacco and American cultural symbols abroad. "
Maroochy Shire Library Service Oral History Collection;Nambour, Queensland, Australia, Australia. To preserve, on tape and in written form, the personal recollections of the early inhabitants of the Maroochy Shire. 
Marshall Foundation Oral History Program;Lexington, Virginia, United States. 
Marshall Plan Project;New York, New York, United States. This group of memoirs gathers together material on the genesis and development of the Marshall Plan in the Department of State, and describes in particular the role played by Will Clayton. The interviews were conducted by Mr. Clayton's daughter. 
Martha Dillard Audiocassette Tapes;"Blacksburg, Virginia, United States. AUDIOCASSETTE TAPES, 1992. 0.2 cu. ft. Oral history interviews (3 on 3 cassette tapes) conducted by artist Martha Dillard in connection with ""Watershed,"" an exhibition of Dillard's paintings of the Ellett Valley in Montgomery County, Virginia. Interviewees include T. Cartmel and Liz Brown, Anna Laura Tribble, and Josie Shotts about the valley of the North Fork of the Roanoke River. Collection also includes postcards and flyers relating to the exhibition. Interviews untranscribed, notes available. Ms98-027. "
Marvin Griffin, Series F;Atlanta, Georgia, United States. This series of interviews was conducted by Robert Dubay as research for a proposed book on Georgia Gov. Marvin Griffin, who served from 1955 to 1959. Dubay is a professor of history at Bainbridge College. 
Mary C. Neuhauser Papers;Iowa City, Iowa, United States. The Mary C. Neuhauser papers date from 1968 to 1999 and measure 13.8 linear feet. The papers are arranged in five series: Biographical/Personal, Civic Activities, Campaigns, Local government and State government. 
